Vehicle Count,Average Speed (km/hr),Weather Conditions,Time of the Day,Accident Reported
45,52,Clear,Morning,No
78,30,Rainy,Evening,Yes
34,60,Clear,Afternoon,No
65,40,Foggy,Morning,Yes
22,75,Clear,Night,No
88,20,Rainy,Evening,Yes
54,55,Cloudy,Afternoon,No
33,62,Clear,Morning,No
70,28,Rainy,Night,Yes
15,80,Clear,Afternoon,No
60,35,Foggy,Morning,Yes
41,50,Cloudy,Evening,No
90,25,Rainy,Night,Yes
38,58,Clear,Morning,No
27,70,Clear,Night,No
85,22,Foggy,Evening,Yes
40,45,Cloudy,Afternoon,No
67,38,Rainy,Morning,Yes
31,65,Clear,Evening,No
74,33,Foggy,Night,Yes
49,47,Cloudy,Afternoon,No
55,42,Rainy,Morning,Yes
25,73,Clear,Night,No
80,26,Foggy,Evening,Yes
36,60,Cloudy,Afternoon,No
63,40,Rainy,Morning,Yes
28,68,Clear,Evening,No
71,32,Foggy,Night,Yes
44,53,Clear,Afternoon,No
58,48,Cloudy,Morning,No
